,1ADF,2JHF,1MGO,1EE2,1QV6,1A71,1N8K,1N92,1P1R,1YE3,3BTO,1QV7,1KUV,1KUY,1KUX,1L0C,1IB1e,1IB1f,1IB1g,1IB1h,1B6B,1B6Bb,1B73,2DWU,1ZUW,1B74,3IST,2JFU,2GZM,3ISV,3HFR,2JFV,2OHO,1EP0,1PM7,1NXM,2IXK,1WLT,1DZR,1RTV,2B9U,1NZC,1NYW,1CLK,1A0C,1MUW,1BXB,2GLK,1QT1,1XIM,1XLA,1DXI,2GYI,1XYL,1S5N,1XYA,3RUBl,8RUC,2VDI,1UZH,1UWA,1UPMs,1SVDm,1RXOc,1IWAb,1IR1s,1GK8i
1ADF,748,29,20,26,19,21,17,19,18,18,21,21,21,21,22,19,19,14,23,23,18,22,19,18,18,24,21,22,18,22,25,21,18,22,20,18,17,19,23,15,16,23,22,25,23,22,20,25,19,20,31,26,27,19,22,36,25,24,17,18,20,26,28,27,20,28,18
2JHF,29,748,35,27,41,18,22,29,18,18,26,23,16,20,29,23,20,22,19,20,24,27,25,25,22,23,21,18,19,27,22,18,22,33,19,20,15,19,24,21,24,18,28,27,20,23,34,32,23,28,25,23,24,21,19,22,22,22,17,26,26,25,17,27,21,31,26
1MGO,20,35,748,24,19,19,18,19,17,20,17,24,28,19,26,17,19,16,23,26,24,22,18,19,20,20,18,20,22,24,19,18,31,20,23,24,37,24,27,22,21,18,16,20,27,20,20,27,17,20,21,29,26,18,21,21,18,26,23,30,20,20,30,35,22,20,26
1EE2,26,27,24,746,37,34,31,23,18,22,24,44,17,27,35,26,18,21,24,44,20,22,27,26,34,37,29,34,27,21,31,21,27,22,27,25,23,23,28,22,25,26,22,26,29,37,36,43,28,30,28,30,37,27,37,36,21,28,20,27,26,29,36,27,19,20,32
1QV6,19,41,19,37,748,20,17,19,23,17,19,30,18,18,29,21,21,16,18,21,25,19,17,17,18,24,28,23,21,34,21,25,26,16,21,38,18,20,23,18,21,20,21,20,18,18,32,19,20,21,20,20,20,20,18,23,24,25,21,18,22,18,20,19,16,19,23
1A71,21,18,19,34,20,748,22,17,20,22,18,25,32,23,21,19,20,24,19,19,24,21,13,27,19,17,29,28,21,22,23,17,23,24,24,37,24,43,37,27,18,28,20,18,28,25,22,21,17,23,14,22,22,19,28,19,20,22,20,27,24,25,32,32,25,21,22
1N8K,17,22,18,31,17,22,748,33,134,17,17,29,14,17,23,15,19,19,21,23,20,17,15,19,28,27,20,20,16,24,27,16,23,18,18,25,25,29,25,24,22,17,16,21,22,21,21,21,22,18,18,22,25,24,20,19,20,31,20,23,16,25,19,18,15,18,20
1N92,19,29,19,23,19,17,33,748,27,25,20,43,17,24,19,22,20,23,21,25,24,16,33,23,21,21,21,26,19,23,25,19,26,20,18,28,25,29,21,20,16,19,19,20,19,21,23,34,22,19,23,29,25,27,25,23,21,21,16,23,24,16,20,19,16,20,23
1P1R,18,18,17,18,23,20,134,27,748,23,22,35,32,20,20,22,20,16,29,21,21,19,22,21,25,21,21,23,21,29,30,20,18,38,20,30,32,51,23,22,19,18,32,23,22,21,21,21,22,19,18,26,24,16,24,20,22,30,19,20,22,21,30,27,25,22,23
1YE3,18,18,20,22,17,22,17,25,23,748,22,29,19,27,18,22,20,22,26,26,20,21,16,25,20,20,25,22,16,28,25,27,15,17,22,23,20,29,25,20,21,25,21,23,26,23,27,22,27,27,23,25,27,21,23,27,22,24,15,20,23,19,20,20,16,30,20
3BTO,21,26,17,24,19,18,17,20,22,22,748,27,18,21,20,22,16,34,19,28,20,21,18,32,20,35,23,21,20,24,20,19,32,49,19,24,30,34,25,37,14,23,28,18,19,24,21,18,19,24,18,19,22,16,19,20,17,22,16,24,27,20,18,21,21,33,23
1QV7,21,23,24,44,30,25,29,43,35,29,27,748,17,18,20,28,30,16,18,21,19,24,27,32,23,28,34,17,25,23,18,16,35,28,25,21,20,18,24,22,17,14,19,29,28,25,28,36,21,23,27,24,28,31,31,26,26,40,19,25,29,21,25,30,19,30,27
1KUV,21,16,28,17,18,32,14,17,32,19,18,17,332,19,22,13,18,17,16,14,20,11,16,19,27,24,20,20,16,18,29,21,19,23,17,18,15,24,22,20,16,15,18,34,24,27,24,34,31,37,21,27,22,18,26,25,18,21,15,16,17,21,18,28,27,20,16
1KUY,21,20,19,27,18,23,17,24,20,27,21,18,19,332,27,12,20,12,17,17,19,10,24,23,14,25,14,17,21,25,22,21,26,15,23,30,14,22,23,16,14,21,14,35,37,23,28,34,18,22,16,39,38,27,16,28,15,25,20,30,15,15,15,14,16,14,14
1KUX,22,29,26,35,29,21,23,19,20,18,20,20,22,27,332,21,20,18,17,18,18,16,26,26,29,27,20,20,18,19,27,20,30,18,19,24,27,23,20,24,14,22,18,51,30,34,38,35,23,31,14,42,40,23,26,40,25,20,15,23,29,18,14,16,35,12,13
1L0C,19,23,17,26,21,19,15,22,22,22,22,28,13,12,21,332,21,16,12,16,14,12,29,23,17,21,28,17,17,22,21,15,35,22,22,21,14,14,25,18,15,22,21,32,27,23,23,28,16,39,16,15,30,26,22,32,21,19,15,24,20,12,11,24,17,14,16
1IB1e,19,20,19,18,21,20,19,20,20,20,16,30,18,20,20,21,358,30,17,16,24,20,16,34,27,24,27,23,22,21,20,17,30,24,21,20,26,20,26,21,15,20,20,24,21,23,19,26,20,25,20,20,20,24,26,21,19,26,21,24,22,20,17,17,15,19,19
1IB1f,14,22,16,21,16,24,19,23,16,22,34,16,17,12,18,16,30,358,17,43,22,13,21,18,23,14,21,16,17,18,20,16,20,15,21,18,17,20,20,19,16,16,22,14,22,17,22,18,18,18,21,19,28,17,17,14,16,20,16,21,19,16,16,17,15,17,17
1IB1g,23,19,23,24,18,19,21,21,29,26,19,18,16,17,17,12,17,17,358,15,18,14,17,22,21,25,26,18,17,23,17,15,18,25,18,20,22,23,23,16,16,20,21,18,22,25,30,21,18,21,24,26,17,22,19,21,21,22,19,24,16,14,16,14,19,15,22
1IB1h,23,20,26,44,21,19,23,25,21,26,28,21,14,17,18,16,16,43,15,358,22,13,18,24,19,18,26,18,19,19,19,23,21,24,17,21,25,26,23,19,16,20,22,20,21,24,25,31,24,33,26,21,23,26,26,21,24,18,18,29,18,18,16,14,15,20,27
1B6B,18,24,24,20,25,24,20,24,21,20,20,19,20,19,18,14,24,22,18,22,336,17,27,24,22,25,29,27,24,24,32,17,24,24,24,24,21,22,26,23,17,25,25,20,24,28,26,22,23,25,26,20,20,25,22,22,18,16,18,19,28,22,21,20,17,23,23
1B6Bb,22,27,22,22,19,21,17,16,19,21,21,24,11,10,16,12,20,13,14,13,17,312,14,21,19,21,21,17,18,19,19,18,21,16,28,30,16,13,14,12,11,19,27,26,20,22,18,35,16,22,20,20,28,21,23,16,17,20,22,26,18,15,17,14,16,13,19
1B73,19,25,18,27,17,13,15,33,22,16,18,27,16,24,26,29,16,21,17,18,27,14,504,33,18,13,22,27,23,16,17,16,20,21,13,24,14,17,18,16,12,17,21,33,25,21,18,19,23,29,18,19,19,29,19,27,19,26,14,17,29,21,17,21,17,30,25
2DWU,18,25,19,26,17,27,19,23,21,25,32,32,19,23,26,23,34,18,22,24,24,21,33,532,19,30,21,20,20,19,17,18,32,28,31,29,18,20,28,21,22,25,25,20,33,39,24,29,34,24,25,19,29,34,24,23,26,22,18,23,19,19,23,32,22,33,22
1ZUW,18,22,20,34,18,19,28,21,25,20,20,23,27,14,29,17,27,23,21,19,22,19,18,19,524,21,18,20,22,18,19,19,22,20,19,20,17,24,28,21,18,16,16,27,23,25,21,19,17,23,19,19,26,33,23,22,17,23,16,18,20,21,22,27,34,24,31
1B74,24,23,20,37,24,17,27,21,21,20,35,28,24,25,27,21,24,14,25,18,25,21,13,30,21,506,20,21,16,18,23,20,25,20,20,14,16,24,16,27,15,22,15,19,22,20,18,21,28,24,17,23,27,23,25,16,22,26,14,24,17,18,27,33,15,22,20
